Epoch [1/20], Loss: 4.8794, Accuracy: 1.5280135823429541%
Epoch [2/20], Loss: 4.6157, Accuracy: 3.8200339558573853%
Epoch [3/20], Loss: 4.1469, Accuracy: 7.215619694397284%
Epoch [4/20], Loss: 3.9890, Accuracy: 9.762308998302208%
Epoch [5/20], Loss: 3.6714, Accuracy: 13.582342954159593%
Epoch [6/20], Loss: 3.2679, Accuracy: 17.911714770797964%
Epoch [7/20], Loss: 3.2045, Accuracy: 18.845500848896435%
Epoch [8/20], Loss: 3.3602, Accuracy: 19.015280135823428%
Epoch [9/20], Loss: 2.6081, Accuracy: 23.853989813242784%
Epoch [10/20], Loss: 2.6752, Accuracy: 26.485568760611205%
Epoch [11/20], Loss: 2.1815, Accuracy: 28.268251273344653%
Epoch [12/20], Loss: 2.2481, Accuracy: 27.504244482173174%
Epoch [13/20], Loss: 2.1177, Accuracy: 28.35314091680815%
Epoch [14/20], Loss: 2.1768, Accuracy: 30.475382003395584%
Epoch [15/20], Loss: 1.9277, Accuracy: 32.25806451612903%
Epoch [16/20], Loss: 1.7589, Accuracy: 31.57894736842105%
Epoch [17/20], Loss: 1.5320, Accuracy: 31.66383701188455%
Epoch [18/20], Loss: 1.9728, Accuracy: 34.125636672325975%
Epoch [19/20], Loss: 1.5774, Accuracy: 33.531409168081495%
Epoch [20/20], Loss: 1.5089, Accuracy: 31.748726655348047%
Epoch [1/100], Loss: 5.0699, Accuracy: 1.5280135823429541%
Epoch [2/100], Loss: 4.5913, Accuracy: 4.66893039049236%
Epoch [3/100], Loss: 4.2111, Accuracy: 6.621392190152801%
Epoch [4/100], Loss: 3.9676, Accuracy: 11.03565365025467%
Epoch [5/100], Loss: 3.7820, Accuracy: 14.516129032258064%
Epoch [6/100], Loss: 3.3978, Accuracy: 15.534804753820033%
Epoch [7/100], Loss: 3.4607, Accuracy: 18.42105263157895%
Epoch [8/100], Loss: 3.3100, Accuracy: 20.882852292020374%
Epoch [9/100], Loss: 3.0563, Accuracy: 22.07130730050934%
Epoch [10/100], Loss: 2.6269, Accuracy: 23.00509337860781%
Epoch [11/100], Loss: 2.6483, Accuracy: 24.108658743633278%
Epoch [12/100], Loss: 2.3570, Accuracy: 27.249575551782684%
Epoch [13/100], Loss: 2.1367, Accuracy: 30.050933786078097%
Epoch [14/100], Loss: 2.3633, Accuracy: 29.032258064516128%
Epoch [15/100], Loss: 1.6205, Accuracy: 32.76740237691002%
Epoch [16/100], Loss: 1.6966, Accuracy: 32.68251273344652%
Epoch [17/100], Loss: 1.6859, Accuracy: 32.00339558573854%
Epoch [18/100], Loss: 1.4189, Accuracy: 32.173174872665534%
Epoch [19/100], Loss: 1.6399, Accuracy: 30.984719864176572%
