Epoch [1/40], Loss: 5.1942, Accuracy: 1.867572156196944%
Epoch [2/40], Loss: 4.2454, Accuracy: 4.584040747028863%
Epoch [3/40], Loss: 4.1533, Accuracy: 8.064516129032258%
Epoch [4/40], Loss: 3.7757, Accuracy: 10.441426146010187%
Epoch [5/40], Loss: 3.6689, Accuracy: 14.34634974533107%
Epoch [6/40], Loss: 3.5194, Accuracy: 17.232597623089983%
Epoch [7/40], Loss: 3.3783, Accuracy: 19.269949066213922%
Epoch [8/40], Loss: 3.4242, Accuracy: 22.66553480475382%
Epoch [9/40], Loss: 3.0913, Accuracy: 23.08998302207131%
Epoch [10/40], Loss: 2.9963, Accuracy: 24.787775891341255%
Epoch [11/40], Loss: 2.8814, Accuracy: 26.6553480475382%
Epoch [12/40], Loss: 2.7108, Accuracy: 28.94736842105263%
Epoch [13/40], Loss: 2.9505, Accuracy: 30.220713073005093%
Epoch [14/40], Loss: 2.4394, Accuracy: 32.34295415959253%
Epoch [15/40], Loss: 1.8643, Accuracy: 30.64516129032258%
Epoch [16/40], Loss: 1.6236, Accuracy: 33.106960950764005%
Epoch [17/40], Loss: 2.1987, Accuracy: 33.276740237691%
Epoch [18/40], Loss: 1.9019, Accuracy: 33.1918505942275%
Epoch [19/40], Loss: 2.3122, Accuracy: 34.71986417657046%
Epoch [20/40], Loss: 2.0399, Accuracy: 37.43633276740238%
Epoch [21/40], Loss: 1.6770, Accuracy: 38.79456706281834%
Epoch [22/40], Loss: 1.8029, Accuracy: 35.144312393887944%
Epoch [23/40], Loss: 1.8287, Accuracy: 37.60611205432937%
Epoch [24/40], Loss: 1.8920, Accuracy: 39.13412563667232%
Epoch [25/40], Loss: 1.5356, Accuracy: 38.539898132427844%
Epoch [26/40], Loss: 1.5448, Accuracy: 39.64346349745331%
Epoch [27/40], Loss: 1.6481, Accuracy: 36.078098471986415%
Epoch [28/40], Loss: 1.6104, Accuracy: 40.57724957555178%
Epoch [29/40], Loss: 1.2899, Accuracy: 42.27504244482173%
Epoch [30/40], Loss: 1.6883, Accuracy: 39.898132427843805%
Epoch [31/40], Loss: 1.1324, Accuracy: 41.511035653650254%
Epoch [32/40], Loss: 1.5034, Accuracy: 40.83191850594228%
Epoch [33/40], Loss: 1.4579, Accuracy: 41.59592529711375%
Epoch [34/40], Loss: 1.0426, Accuracy: 43.54838709677419%
Epoch [35/40], Loss: 1.4116, Accuracy: 41.59592529711375%
Epoch [36/40], Loss: 1.0964, Accuracy: 43.463497453310694%
Epoch [37/40], Loss: 1.1942, Accuracy: 41.935483870967744%
Epoch [38/40], Loss: 0.9861, Accuracy: 42.19015280135823%
Epoch [39/40], Loss: 0.9431, Accuracy: 43.20882852292021%
Epoch [40/40], Loss: 0.9206, Accuracy: 42.02037351443124%
