Epoch [1/1000], Loss: 5.3019, Accuracy: 0.3395585738539898%
Epoch [2/1000], Loss: 5.2774, Accuracy: 0.8488964346349746%
Epoch [3/1000], Loss: 5.2383, Accuracy: 1.1035653650254669%
Epoch [4/1000], Loss: 4.9570, Accuracy: 1.3582342954159592%
Epoch [5/1000], Loss: 4.9146, Accuracy: 2.801358234295416%
Epoch [6/1000], Loss: 4.7368, Accuracy: 3.3106960950764006%
Epoch [7/1000], Loss: 4.8682, Accuracy: 2.8862478777589136%
Epoch [8/1000], Loss: 4.6514, Accuracy: 4.66893039049236%
Epoch [9/1000], Loss: 4.3955, Accuracy: 6.281833616298812%
Epoch [10/1000], Loss: 4.1587, Accuracy: 5.432937181663837%
Epoch [11/1000], Loss: 4.4762, Accuracy: 6.281833616298812%
Epoch [12/1000], Loss: 4.3416, Accuracy: 5.942275042444821%
Epoch [13/1000], Loss: 4.3863, Accuracy: 7.300509337860781%
Epoch [14/1000], Loss: 4.1025, Accuracy: 8.488964346349745%
Epoch [15/1000], Loss: 4.2828, Accuracy: 8.913412563667233%
Epoch [16/1000], Loss: 3.9803, Accuracy: 8.743633276740237%
Epoch [17/1000], Loss: 4.4825, Accuracy: 9.422750424448218%
Epoch [18/1000], Loss: 3.9846, Accuracy: 11.205432937181664%
Epoch [19/1000], Loss: 3.9159, Accuracy: 11.62988115449915%
Epoch [20/1000], Loss: 4.1224, Accuracy: 13.412563667232597%
Epoch [21/1000], Loss: 3.8843, Accuracy: 12.393887945670627%
Epoch [22/1000], Loss: 3.6998, Accuracy: 12.903225806451612%
Epoch [23/1000], Loss: 3.5208, Accuracy: 12.98811544991511%
Epoch [24/1000], Loss: 3.2697, Accuracy: 13.837011884550085%
Epoch [25/1000], Loss: 4.1032, Accuracy: 15.619694397283531%
Epoch [26/1000], Loss: 3.5650, Accuracy: 15.534804753820033%
Epoch [27/1000], Loss: 3.3609, Accuracy: 15.959252971137522%
Epoch [28/1000], Loss: 2.8285, Accuracy: 16.6383701188455%
Epoch [29/1000], Loss: 3.3635, Accuracy: 18.42105263157895%
Epoch [30/1000], Loss: 3.1152, Accuracy: 17.572156196943972%
Epoch [31/1000], Loss: 3.1945, Accuracy: 17.40237691001698%
Epoch [32/1000], Loss: 3.1018, Accuracy: 19.524617996604416%
Epoch [33/1000], Loss: 3.6639, Accuracy: 18.930390492359933%
Epoch [34/1000], Loss: 3.0092, Accuracy: 19.185059422750424%
Epoch [35/1000], Loss: 2.9832, Accuracy: 20.458404074702887%
Epoch [36/1000], Loss: 3.1176, Accuracy: 20.37351443123939%
Epoch [37/1000], Loss: 3.0933, Accuracy: 19.864176570458405%
Epoch [38/1000], Loss: 3.1918, Accuracy: 20.882852292020374%
Epoch [39/1000], Loss: 3.0906, Accuracy: 22.410865874363328%
Epoch [40/1000], Loss: 2.7473, Accuracy: 21.477079796264857%
Epoch [41/1000], Loss: 2.9623, Accuracy: 22.580645161290324%
Epoch [42/1000], Loss: 2.7511, Accuracy: 22.66553480475382%
Epoch [43/1000], Loss: 2.3568, Accuracy: 23.174872665534807%
Epoch [44/1000], Loss: 2.8012, Accuracy: 25.466893039049236%
Epoch [45/1000], Loss: 2.8692, Accuracy: 23.514431239388795%
Epoch [46/1000], Loss: 2.6475, Accuracy: 25.127334465195247%
Epoch [47/1000], Loss: 3.1878, Accuracy: 23.599320882852293%
Epoch [48/1000], Loss: 2.3226, Accuracy: 24.448217317487266%
Epoch [49/1000], Loss: 3.0493, Accuracy: 26.485568760611205%
Epoch [50/1000], Loss: 2.6854, Accuracy: 25.551782682512734%
Epoch [51/1000], Loss: 2.7500, Accuracy: 24.36332767402377%
Epoch [52/1000], Loss: 2.4778, Accuracy: 25.127334465195247%
Epoch [53/1000], Loss: 2.2914, Accuracy: 25.97623089983022%
Epoch [54/1000], Loss: 2.5760, Accuracy: 28.268251273344653%
Epoch [55/1000], Loss: 2.0725, Accuracy: 26.99490662139219%
Epoch [56/1000], Loss: 2.2061, Accuracy: 27.843803056027166%
Epoch [57/1000], Loss: 2.6270, Accuracy: 27.589134125636672%
Epoch [58/1000], Loss: 2.0441, Accuracy: 29.456706281833615%
Epoch [59/1000], Loss: 2.2420, Accuracy: 26.7402376910017%
Epoch [60/1000], Loss: 2.2843, Accuracy: 29.541595925297113%
Epoch [61/1000], Loss: 2.0451, Accuracy: 26.485568760611205%
Epoch [62/1000], Loss: 2.2425, Accuracy: 29.456706281833615%
Epoch [63/1000], Loss: 2.5544, Accuracy: 30.475382003395584%
Epoch [64/1000], Loss: 2.3990, Accuracy: 30.135823429541595%
Epoch [65/1000], Loss: 2.3347, Accuracy: 29.202037351443124%
Epoch [66/1000], Loss: 2.0488, Accuracy: 30.30560271646859%
Epoch [67/1000], Loss: 2.0681, Accuracy: 30.39049235993209%
Epoch [68/1000], Loss: 2.3815, Accuracy: 28.438030560271645%
Epoch [69/1000], Loss: 1.9243, Accuracy: 31.154499151103565%
Epoch [70/1000], Loss: 2.2904, Accuracy: 29.796264855687607%
Epoch [71/1000], Loss: 2.0016, Accuracy: 30.984719864176572%
Epoch [72/1000], Loss: 2.5002, Accuracy: 30.135823429541595%
Epoch [73/1000], Loss: 2.4464, Accuracy: 30.220713073005093%
Epoch [74/1000], Loss: 2.2349, Accuracy: 29.796264855687607%
Epoch [75/1000], Loss: 2.0093, Accuracy: 30.30560271646859%
Epoch [76/1000], Loss: 2.1134, Accuracy: 29.9660441426146%
Epoch [77/1000], Loss: 1.9552, Accuracy: 32.42784380305603%
Epoch [78/1000], Loss: 1.5221, Accuracy: 31.239388794567063%
Epoch [79/1000], Loss: 2.2514, Accuracy: 31.66383701188455%
Epoch [80/1000], Loss: 1.6713, Accuracy: 31.494057724957557%
Epoch [81/1000], Loss: 1.5936, Accuracy: 31.918505942275043%
Epoch [82/1000], Loss: 1.4829, Accuracy: 32.34295415959253%
Epoch [83/1000], Loss: 1.3984, Accuracy: 31.40916808149406%
Epoch [84/1000], Loss: 1.6703, Accuracy: 31.32427843803056%
Epoch [85/1000], Loss: 1.7200, Accuracy: 32.85229202037351%
Epoch [86/1000], Loss: 1.7366, Accuracy: 32.088285229202036%
Epoch [87/1000], Loss: 2.3689, Accuracy: 32.76740237691002%
Epoch [88/1000], Loss: 1.5046, Accuracy: 33.3616298811545%
Epoch [89/1000], Loss: 1.7469, Accuracy: 32.76740237691002%
Epoch [90/1000], Loss: 1.7626, Accuracy: 31.57894736842105%
Epoch [91/1000], Loss: 1.9476, Accuracy: 33.61629881154499%
Epoch [92/1000], Loss: 1.8339, Accuracy: 34.04074702886248%
Epoch [93/1000], Loss: 1.5084, Accuracy: 33.70118845500849%
Epoch [94/1000], Loss: 1.3572, Accuracy: 32.85229202037351%
Epoch [95/1000], Loss: 1.6920, Accuracy: 33.276740237691%
Epoch [96/1000], Loss: 1.6342, Accuracy: 32.34295415959253%
Epoch [97/1000], Loss: 1.4517, Accuracy: 33.70118845500849%
